IP,Categories,ReportDate,Comment
217.131.4.19,"7",2025-02-24T00:28:42.225016+00:00,"Related with ip address detected by heuristics of https://github.com/HydraDragonAntivirus/HydraDragonAntivirusSearchEngine (Discovered IP: 217.131.4.19, Discovered URL: http://23.235.200.168, Verdict: phishing_ipv4), Zeroday: Yes it's not duplicate"
1.1.1.1,"7",2025-02-24T00:32:38.733208+00:00,"Related with ip address detected by heuristics of https://github.com/HydraDragonAntivirus/HydraDragonAntivirusSearchEngine (Discovered IP: 1.1.1.1, Discovered URL: http://31.220.63.24, Verdict: phishing_ipv4), Zeroday: Yes it's not duplicate"
128.199.253.13,"7",2025-02-24T00:32:53.309937+00:00,"Related with ip address detected by heuristics of https://github.com/HydraDragonAntivirus/HydraDragonAntivirusSearchEngine (Discovered IP: 128.199.253.13, Discovered URL: http://128.199.248.113, Verdict: phishing_ipv4), Zeroday: Yes it's not duplicate"
45.55.151.3,"4",2025-02-24T00:33:04.924276+00:00,"Related with ip address detected by heuristics of https://github.com/HydraDragonAntivirus/HydraDragonAntivirusSearchEngine (Discovered IP: 45.55.151.3, Discovered URL: http://87.236.176.23, Verdict: ddos_ipv4), Zeroday: Yes it's not duplicate"
45.55.153.86,"4",2025-02-24T00:33:06.199277+00:00,"Related with ip address detected by heuristics of https://github.com/HydraDragonAntivirus/HydraDragonAntivirusSearchEngine (Discovered IP: 45.55.153.86, Discovered URL: http://87.236.176.29, Verdict: ddos_ipv4), Zeroday: Yes it's not duplicate"
45.55.158.168,"4",2025-02-24T00:33:07.385704+00:00,"Related with ip address detected by heuristics of https://github.com/HydraDragonAntivirus/HydraDragonAntivirusSearchEngine (Discovered IP: 45.55.158.168, Discovered URL: http://87.236.176.21, Verdict: ddos_ipv4), Zeroday: Yes it's not duplicate"
45.55.185.224,"4",2025-02-24T00:33:08.789257+00:00,"Related with ip address detected by heuristics of https://github.com/HydraDragonAntivirus/HydraDragonAntivirusSearchEngine (Discovered IP: 45.55.185.224, Discovered URL: http://87.236.176.104, Verdict: ddos_ipv4), Zeroday: Yes it's not duplicate"
45.55.186.92,"4",2025-02-24T00:33:09.543334+00:00,"Related with ip address detected by heuristics of https://github.com/HydraDragonAntivirus/HydraDragonAntivirusSearchEngine (Discovered IP: 45.55.186.92, Discovered URL: http://87.236.176.224, Verdict: ddos_ipv4), Zeroday: Yes it's not duplicate"
64.227.108.146,"4",2025-02-24T00:33:12.391568+00:00,"Related with ip address detected by heuristics of https://github.com/HydraDragonAntivirus/HydraDragonAntivirusSearchEngine (Discovered IP: 64.227.108.146, Discovered URL: http://87.236.176.49, Verdict: ddos_ipv4), Zeroday: Yes it's not duplicate"
64.227.109.89,"4",2025-02-24T00:33:13.473573+00:00,"Related with ip address detected by heuristics of https://github.com/HydraDragonAntivirus/HydraDragonAntivirusSearchEngine (Discovered IP: 64.227.109.89, Discovered URL: http://87.236.176.58, Verdict: ddos_ipv4), Zeroday: Yes it's not duplicate"
