IP,Categories,References,ReportDate,Comment
1.162.108.235,"Malware","HydraDragonAntivirusSearchEngine|Unknown",2025-10-04T04:46:35.074003+00:00,"Related with IP detected by heuristics (Discovered IP: 1.162.108.235, Discovered URL: http://1.162.108.235, Verdict: Malware, HTTP Status: 200), HTML similarity: 0.00%, Zeroday: No"
1.163.244.22,"Malware","HydraDragonAntivirusSearchEngine|Unknown",2025-10-04T04:42:53.358384+00:00,"Related with IP detected by heuristics (Discovered IP: 1.163.244.22, Discovered URL: http://1.163.244.22, Verdict: Malware, HTTP Status: 200), HTML similarity: 0.00%, Zeroday: No"
1.234.44.24,"Malware","HydraDragonAntivirusSearchEngine|Unknown",2025-10-04T05:04:57.534892+00:00,"Related with IP detected by heuristics (Discovered IP: 1.234.44.24, Discovered URL: http://1.234.44.24, Verdict: Malware, HTTP Status: 200), HTML similarity: 0.00%, Zeroday: No"
1.32.108.171,"Spam","HydraDragonAntivirusSearchEngine|Unknown",2025-10-04T04:40:43.388493+00:00,"Related with IP detected by heuristics (Discovered IP: 1.32.108.171, Discovered URL: http://1.32.108.171, Verdict: Spam, HTTP Status: 200), HTML similarity: 0.00%, Zeroday: No"
1.34.119.159,"Malware","HydraDragonAntivirusSearchEngine|Unknown",2025-10-04T04:47:01.876428+00:00,"Related with IP detected by heuristics (Discovered IP: 1.34.119.159, Discovered URL: http://1.34.119.159, Verdict: Malware, HTTP Status: 200), HTML similarity: 0.00%, Zeroday: No"
1.34.122.186,"Malware","HydraDragonAntivirusSearchEngine|Unknown",2025-10-04T04:53:07.024836+00:00,"Related with IP detected by heuristics (Discovered IP: 1.34.122.186, Discovered URL: http://1.34.122.186, Verdict: Malware, HTTP Status: 200), HTML similarity: 0.00%, Zeroday: No"
1.34.212.100,"Malware","HydraDragonAntivirusSearchEngine|Unknown",2025-10-04T05:17:02.505032+00:00,"Related with IP detected by heuristics (Discovered IP: 1.34.212.100, Discovered URL: http://1.34.212.100, Verdict: Malware, HTTP Status: 200), HTML similarity: 0.00%, Zeroday: No"
1.4.198.213,"Malware","HydraDragonAntivirusSearchEngine|Unknown",2025-10-04T04:44:54.631264+00:00,"Related with IP detected by heuristics (Discovered IP: 1.4.198.213, Discovered URL: http://1.4.198.213, Verdict: Malware, HTTP Status: 200), HTML similarity: 0.00%, Zeroday: No"
1.54.49.16,"Malware","HydraDragonAntivirusSearchEngine|Unknown",2025-10-04T05:19:14.648145+00:00,"Related with IP detected by heuristics (Discovered IP: 1.54.49.16, Discovered URL: http://1.54.49.16, Verdict: Malware, HTTP Status: 200), HTML similarity: 0.00%, Zeroday: No"
1.55.92.82,"Malware","HydraDragonAntivirusSearchEngine|Unknown",2025-10-04T04:38:30.676021+00:00,"Related with IP detected by heuristics (Discovered IP: 1.55.92.82, Discovered URL: http://1.55.92.82, Verdict: Malware, HTTP Status: 200), HTML similarity: 0.00%, Zeroday: No"
