IP,Categories,References,ReportDate,Comment
101.132.32.218,"Malware","HydraDragonAntivirusSearchEngine|Unknown",2025-09-22T18:54:14.557587+00:00,"Related with IP detected by heuristics (Discovered IP: 101.132.32.218, Discovered URL: http://101.132.32.218, Verdict: Malware, HTTP Status: 404), Zeroday: No"
103.1.114.44,"Malware","HydraDragonAntivirusSearchEngine|Unknown",2025-09-22T18:53:41.770008+00:00,"Related with IP detected by heuristics (Discovered IP: 103.1.114.44, Discovered URL: http://103.1.114.44, Verdict: Malware, HTTP Status: 404), Zeroday: No"
103.107.197.8,"Malware","HydraDragonAntivirusSearchEngine|Unknown",2025-09-22T19:04:19.463046+00:00,"Related with IP detected by heuristics (Discovered IP: 103.107.197.8, Discovered URL: http://103.107.197.8, Verdict: Malware, HTTP Status: 404), Zeroday: No"
103.108.87.148,"Malware","HydraDragonAntivirusSearchEngine|Unknown",2025-09-22T19:24:50.270324+00:00,"Related with IP detected by heuristics (Discovered IP: 103.108.87.148, Discovered URL: http://103.108.87.148, Verdict: Malware, HTTP Status: 404), Zeroday: No"
103.140.73.13,"Malware","HydraDragonAntivirusSearchEngine|Unknown",2025-09-22T19:34:32.231376+00:00,"Related with IP detected by heuristics (Discovered IP: 103.140.73.13, Discovered URL: http://103.140.73.13, Verdict: Malware, HTTP Status: 404), Zeroday: No"
103.145.181.195,"Malware","HydraDragonAntivirusSearchEngine|Unknown",2025-09-22T19:05:01.055916+00:00,"Related with IP detected by heuristics (Discovered IP: 103.145.181.195, Discovered URL: http://103.145.181.195, Verdict: Malware, HTTP Status: 500), Zeroday: No"
103.167.150.104,"Malware","HydraDragonAntivirusSearchEngine|Unknown",2025-09-22T19:01:42.906829+00:00,"Related with IP detected by heuristics (Discovered IP: 103.167.150.104, Discovered URL: http://103.167.150.104, Verdict: Malware, HTTP Status: 404), Zeroday: No"
103.17.140.44,"Malware","HydraDragonAntivirusSearchEngine|Unknown",2025-09-22T18:52:18.567331+00:00,"Related with IP detected by heuristics (Discovered IP: 103.17.140.44, Discovered URL: http://103.17.140.44, Verdict: Malware, HTTP Status: 404), Zeroday: No"
103.191.92.234,"Malware","HydraDragonAntivirusSearchEngine|Unknown",2025-09-22T19:01:27.076885+00:00,"Related with IP detected by heuristics (Discovered IP: 103.191.92.234, Discovered URL: http://103.191.92.234, Verdict: Malware, HTTP Status: 404), Zeroday: No"
103.192.198.78,"Malware","HydraDragonAntivirusSearchEngine|Unknown",2025-09-22T19:18:42.713472+00:00,"Related with IP detected by heuristics (Discovered IP: 103.192.198.78, Discovered URL: http://103.192.198.78, Verdict: Malware, HTTP Status: 404), Zeroday: No"
103.254.221.105,"Malware","HydraDragonAntivirusSearchEngine|Unknown",2025-09-22T18:41:24.569470+00:00,"Related with IP detected by heuristics (Discovered IP: 103.254.221.105, Discovered URL: http://103.254.221.105, Verdict: Malware, HTTP Status: 404), Zeroday: No"
