IP,Categories,References,ReportDate,Comment
101.126.146.240,"Malware","HydraDragonAntivirusSearchEngine|Unknown",2025-10-08T08:23:12.462127+00:00,"Related with IP detected by heuristics (Discovered IP: 101.126.146.240, Discovered URL: http://101.126.146.240, Verdict: Malware, HTTP Status: 403), Zeroday: No"
101.126.90.0,"BruteForce","HydraDragonAntivirusSearchEngine|Unknown",2025-10-08T07:58:20.097011+00:00,"Related with IP detected by heuristics (Discovered IP: 101.126.90.0, Discovered URL: http://101.126.90.0, Verdict: BruteForce, HTTP Status: 403), Zeroday: No"
101.132.99.197,"Malware","HydraDragonAntivirusSearchEngine|Unknown",2025-10-08T07:42:15.211484+00:00,"Related with IP detected by heuristics (Discovered IP: 101.132.99.197, Discovered URL: http://101.132.99.197, Verdict: Malware, HTTP Status: 403), Zeroday: No"
102.165.53.117,"Malware","HydraDragonAntivirusSearchEngine|github.com/T145/black-mirror(Malware)",2025-10-08T07:58:45.365153+00:00,"Related with IP detected by heuristics (Discovered IP: 102.165.53.117, Discovered URL: http://102.165.53.117, Verdict: Malware, HTTP Status: 407), Zeroday: No"
102.165.53.219,"Spam","HydraDragonAntivirusSearchEngine|Unknown",2025-10-08T07:52:37.701808+00:00,"Related with IP detected by heuristics (Discovered IP: 102.165.53.219, Discovered URL: http://102.165.53.219, Verdict: Spam, HTTP Status: 407), Zeroday: No"
102.165.54.128,"Spam","HydraDragonAntivirusSearchEngine|Unknown",2025-10-08T07:44:16.242721+00:00,"Related with IP detected by heuristics (Discovered IP: 102.165.54.128, Discovered URL: http://102.165.54.128, Verdict: Spam, HTTP Status: 407), Zeroday: No"
102.165.54.164,"Spam","HydraDragonAntivirusSearchEngine|Unknown",2025-10-08T07:59:40.605232+00:00,"Related with IP detected by heuristics (Discovered IP: 102.165.54.164, Discovered URL: http://102.165.54.164, Verdict: Spam, HTTP Status: 407), Zeroday: No"
102.165.54.204,"Spam","HydraDragonAntivirusSearchEngine|Unknown",2025-10-08T07:56:07.364088+00:00,"Related with IP detected by heuristics (Discovered IP: 102.165.54.204, Discovered URL: http://102.165.54.204, Verdict: Spam, HTTP Status: 407), Zeroday: No"
102.165.54.207,"Spam","HydraDragonAntivirusSearchEngine|Unknown",2025-10-08T07:57:17.773317+00:00,"Related with IP detected by heuristics (Discovered IP: 102.165.54.207, Discovered URL: http://102.165.54.207, Verdict: Spam, HTTP Status: 407), Zeroday: No"
102.165.55.168,"Malware","HydraDragonAntivirusSearchEngine|Unknown",2025-10-08T08:14:52.268433+00:00,"Related with IP detected by heuristics (Discovered IP: 102.165.55.168, Discovered URL: http://102.165.55.168, Verdict: Malware, HTTP Status: 407), Zeroday: No"
103.107.183.61,"Malware","HydraDragonAntivirusSearchEngine|Unknown",2025-10-08T08:12:51.480439+00:00,"Related with IP detected by heuristics (Discovered IP: 103.107.183.61, Discovered URL: http://103.107.183.61, Verdict: Malware, HTTP Status: 403), Zeroday: No"
