IP,Categories,References,ReportDate,Comment
1.249.38.7,"Whitelist","HydraDragonAntivirusSearchEngine|github.com/T145/black-mirror(WhiteList)",2025-09-30T13:22:22.761834+00:00,"Related with IP detected by heuristics (Discovered IP: 1.249.38.7, Discovered URL: http://1.249.38.7, Verdict: Whitelist, HTTP Status: 200), HTML similarity: 0.00%, Zeroday: Yes"
103.166.156.127,"Whitelist","HydraDragonAntivirusSearchEngine|github.com/T145/black-mirror(WhiteList)",2025-09-30T13:34:34.042389+00:00,"Related with IP detected by heuristics (Discovered IP: 103.166.156.127, Discovered URL: http://103.166.156.127, Verdict: Whitelist, HTTP Status: 200), HTML similarity: 0.00%, Zeroday: Yes"
103.179.73.26,"Whitelist","HydraDragonAntivirusSearchEngine|github.com/T145/black-mirror(WhiteList)",2025-09-30T13:31:03.976673+00:00,"Related with IP detected by heuristics (Discovered IP: 103.179.73.26, Discovered URL: http://103.179.73.26, Verdict: Whitelist, HTTP Status: 200), HTML similarity: 0.00%, Zeroday: Yes"
115.146.127.181,"Whitelist","HydraDragonAntivirusSearchEngine|github.com/T145/black-mirror(WhiteList)",2025-09-30T13:27:29.474781+00:00,"Related with IP detected by heuristics (Discovered IP: 115.146.127.181, Discovered URL: http://115.146.127.181, Verdict: Whitelist, HTTP Status: 401), Zeroday: No"
149.28.229.192,"Whitelist","HydraDragonAntivirusSearchEngine|github.com/T145/black-mirror(WhiteList)",2025-09-30T13:52:48.611960+00:00,"Related with IP detected by heuristics (Discovered IP: 149.28.229.192, Discovered URL: http://149.28.229.192, Verdict: Whitelist, HTTP Status: 200), HTML similarity: 0.00%, Zeroday: Yes"
152.53.102.95,"Whitelist","HydraDragonAntivirusSearchEngine|github.com/T145/black-mirror(WhiteList)",2025-09-30T13:01:19.785611+00:00,"Related with IP detected by heuristics (Discovered IP: 152.53.102.95, Discovered URL: http://152.53.102.95, Verdict: Whitelist, HTTP Status: 403), Zeroday: No"
152.53.118.246,"Whitelist","HydraDragonAntivirusSearchEngine|github.com/T145/black-mirror(WhiteList)",2025-09-30T13:19:59.036400+00:00,"Related with IP detected by heuristics (Discovered IP: 152.53.118.246, Discovered URL: http://152.53.118.246, Verdict: Whitelist, HTTP Status: 200), HTML similarity: 0.00%, Zeroday: Yes"
162.159.50.119,"Whitelist","HydraDragonAntivirusSearchEngine|github.com/T145/black-mirror(WhiteList)",2025-09-30T13:30:15.619608+00:00,"Related with IP detected by heuristics (Discovered IP: 162.159.50.119, Discovered URL: http://162.159.50.119, Verdict: Whitelist, HTTP Status: 200), HTML similarity: 0.00%, Zeroday: Yes"
162.159.56.220,"Whitelist","HydraDragonAntivirusSearchEngine|github.com/T145/black-mirror(WhiteList)",2025-09-30T13:41:19.014188+00:00,"Related with IP detected by heuristics (Discovered IP: 162.159.56.220, Discovered URL: http://162.159.56.220, Verdict: Whitelist, HTTP Status: 200), HTML similarity: 0.00%, Zeroday: Yes"
162.243.168.143,"Whitelist","HydraDragonAntivirusSearchEngine|github.com/T145/black-mirror(WhiteList)",2025-09-30T13:36:10.906706+00:00,"Related with IP detected by heuristics (Discovered IP: 162.243.168.143, Discovered URL: http://162.243.168.143, Verdict: Whitelist, HTTP Status: 200), HTML similarity: 0.00%, Zeroday: Yes"
163.44.127.171,"Whitelist","HydraDragonAntivirusSearchEngine|github.com/T145/black-mirror(WhiteList)",2025-09-30T13:43:22.067107+00:00,"Related with IP detected by heuristics (Discovered IP: 163.44.127.171, Discovered URL: http://163.44.127.171, Verdict: Whitelist, HTTP Status: 404), Zeroday: No"
172.64.36.184,"Whitelist","HydraDragonAntivirusSearchEngine|github.com/T145/black-mirror(WhiteList)",2025-09-30T13:46:35.126179+00:00,"Related with IP detected by heuristics (Discovered IP: 172.64.36.184, Discovered URL: http://172.64.36.184, Verdict: Whitelist, HTTP Status: 200), HTML similarity: 0.00%, Zeroday: Yes"
172.64.36.202,"Whitelist","HydraDragonAntivirusSearchEngine|github.com/T145/black-mirror(WhiteList)",2025-09-30T13:19:47.832583+00:00,"Related with IP detected by heuristics (Discovered IP: 172.64.36.202, Discovered URL: http://172.64.36.202, Verdict: Whitelist, HTTP Status: 200), HTML similarity: 0.00%, Zeroday: Yes"
