IP,Categories,References,ReportDate,Comment
1.0.157.210,"Whitelist","HydraDragonAntivirusSearchEngine|github.com/T145/black-mirror(WhiteList)",2025-10-02T11:20:04.240108+00:00,"Related with IP detected by heuristics (Discovered IP: 1.0.157.210, Discovered URL: http://1.0.157.210, Verdict: Whitelist, HTTP Status: Error: ConnectTimeout), Zeroday: No"
1.0.158.238,"Whitelist","HydraDragonAntivirusSearchEngine|github.com/T145/black-mirror(WhiteList)",2025-10-02T10:47:47.787168+00:00,"Related with IP detected by heuristics (Discovered IP: 1.0.158.238, Discovered URL: http://1.0.158.238, Verdict: Whitelist, HTTP Status: Error: ConnectTimeout), Zeroday: No"
1.0.167.160,"Whitelist","HydraDragonAntivirusSearchEngine|github.com/T145/black-mirror(WhiteList)",2025-10-02T10:41:05.716946+00:00,"Related with IP detected by heuristics (Discovered IP: 1.0.167.160, Discovered URL: http://1.0.167.160, Verdict: Whitelist, HTTP Status: Error: ConnectTimeout), Zeroday: No"
1.0.168.46,"Whitelist","HydraDragonAntivirusSearchEngine|github.com/T145/black-mirror(WhiteList)",2025-10-02T10:46:40.921910+00:00,"Related with IP detected by heuristics (Discovered IP: 1.0.168.46, Discovered URL: http://1.0.168.46, Verdict: Whitelist, HTTP Status: Error: ConnectTimeout), Zeroday: No"
1.0.218.80,"Whitelist","HydraDragonAntivirusSearchEngine|github.com/T145/black-mirror(WhiteList)",2025-10-02T10:46:49.306865+00:00,"Related with IP detected by heuristics (Discovered IP: 1.0.218.80, Discovered URL: http://1.0.218.80, Verdict: Whitelist, HTTP Status: Error: ConnectTimeout), Zeroday: No"
1.0.240.167,"Whitelist","HydraDragonAntivirusSearchEngine|github.com/T145/black-mirror(WhiteList)",2025-10-02T10:52:41.407242+00:00,"Related with IP detected by heuristics (Discovered IP: 1.0.240.167, Discovered URL: http://1.0.240.167, Verdict: Whitelist, HTTP Status: Error: ConnectTimeout), Zeroday: No"
1.11.137.19,"Whitelist","HydraDragonAntivirusSearchEngine|github.com/T145/black-mirror(WhiteList)",2025-10-02T11:11:04.449039+00:00,"Related with IP detected by heuristics (Discovered IP: 1.11.137.19, Discovered URL: http://1.11.137.19, Verdict: Whitelist, HTTP Status: Error: ConnectTimeout), Zeroday: No"
1.168.228.19,"Whitelist","HydraDragonAntivirusSearchEngine|github.com/T145/black-mirror(WhiteList)",2025-10-02T10:49:37.316662+00:00,"Related with IP detected by heuristics (Discovered IP: 1.168.228.19, Discovered URL: http://1.168.228.19, Verdict: Whitelist, HTTP Status: Error: ConnectTimeout), Zeroday: No"
1.171.9.212,"Whitelist","HydraDragonAntivirusSearchEngine|github.com/T145/black-mirror(WhiteList)",2025-10-02T10:43:33.907330+00:00,"Related with IP detected by heuristics (Discovered IP: 1.171.9.212, Discovered URL: http://1.171.9.212, Verdict: Whitelist, HTTP Status: Error: ConnectTimeout), Zeroday: No"
1.176.120.126,"Whitelist","HydraDragonAntivirusSearchEngine|github.com/T145/black-mirror(WhiteList)",2025-10-02T10:41:09.090695+00:00,"Related with IP detected by heuristics (Discovered IP: 1.176.120.126, Discovered URL: http://1.176.120.126, Verdict: Whitelist, HTTP Status: Error: ConnectTimeout), Zeroday: No"
1.2.204.178,"Whitelist","HydraDragonAntivirusSearchEngine|github.com/T145/black-mirror(WhiteList)",2025-10-02T11:23:49.456596+00:00,"Related with IP detected by heuristics (Discovered IP: 1.2.204.178, Discovered URL: http://1.2.204.178, Verdict: Whitelist, HTTP Status: Error: ConnectTimeout), Zeroday: No"
